,Year,TotalTDFDistance,Stage
0,1919,5560,Stage 1 : Paris > Le Havre
1,1919,5560,Stage 2 : Le Havre > Cherbourg-en-Cotentin
2,1919,5560,Stage 3 : Cherbourg-en-Cotentin > Brest
3,1919,5560,Stage 4 : Brest > Les Sables
4,1919,5560,Stage 5 : Les Sables > Bayonne
5,1919,5560,Stage 6 : Bayonne > Luchon
6,1919,5560,Stage 7 : Luchon > Perpignan
7,1919,5560,Stage 8 : Perpignan > Marseille
8,1919,5560,Stage 9 : Marseille > Nice
9,1919,5560,Stage 10 : Nice > Grenoble
10,1919,5560,Stage 11 : Grenoble > Genève
11,1919,5560,Stage 12 : Genève > Strasbourg
12,1919,5560,Stage 13 : Strasbourg > Metz
13,1919,5560,Stage 14 : Metz > Dunkerque
14,1919,5560,Stage 15 : Dunkerque > Paris
0,1920,5503,Stage 1 : Paris > Le Havre
1,1920,5503,Stage 2 : Le Havre > Cherbourg-en-Cotentin
2,1920,5503,Stage 3 : Cherbourg-en-Cotentin > Brest
3,1920,5503,Stage 4 : Brest > Les Sables
4,1920,5503,Stage 5 : Les Sables > Bayonne
5,1920,5503,Stage 6 : Bayonne > Luchon
6,1920,5503,Stage 7 : Luchon > Perpignan
7,1920,5503,Stage 8 : Perpignan > Aix en Provence
8,1920,5503,Stage 9 : Aix en Provence > Nice
9,1920,5503,Stage 10 : Nice > Grenoble
10,1920,5503,Stage 11 : Grenoble > Gex
11,1920,5503,Stage 12 : Gex > Strasbourg
12,1920,5503,Stage 13 : Strasbourg > Metz
13,1920,5503,Stage 14 : Metz > Dunkerque
14,1920,5503,Stage 15 : Dunkerque > Paris
0,1921,5485,Stage 1 : Paris > Le Havre
1,1921,5485,Stage 2 : Le Havre > Cherbourg-en-Cotentin
2,1921,5485,Stage 3 : Cherbourg-en-Cotentin > Brest
3,1921,5485,Stage 4 : Brest > Les Sables
4,1921,5485,Stage 5 : Les Sables > Bayonne
5,1921,5485,Stage 6 : Bayonne > Luchon
6,1921,5485,Stage 7 : Luchon > Perpignan
7,1921,5485,Stage 8 : Perpignan > Toulon
8,1921,5485,Stage 9 : Toulon > Nice
9,1921,5485,Stage 10 : Nice > Grenoble
10,1921,5485,Stage 11 : Grenoble > Genève
11,1921,5485,Stage 12 : Genève > Strasbourg
12,1921,5485,Stage 13 : Strasbourg > Metz
13,1921,5485,Stage 14 : Metz > Dunkerque
14,1921,5485,Stage 15 : Dunkerque > Paris
0,1922,5375,Stage 1 : Paris > Le Havre
1,1922,5375,Stage 2 : Le Havre > Cherbourg-en-Cotentin
2,1922,5375,Stage 3 : Cherbourg-en-Cotentin > Brest
3,1922,5375,Stage 4 : Brest > Les Sables
4,1922,5375,Stage 5 : Les Sables > Bayonne
5,1922,5375,Stage 6 : Bayonne > Luchon
6,1922,5375,Stage 7 : Luchon > Perpignan
7,1922,5375,Stage 8 : Perpignan > Toulon
8,1922,5375,Stage 9 : Toulon > Nice
9,1922,5375,Stage 10 : Nice > Briançon
10,1922,5375,Stage 11 : Briançon > Genève
11,1922,5375,Stage 12 : Genève > Strasbourg
12,1922,5375,Stage 13 : Strasbourg > Metz
13,1922,5375,Stage 14 : Metz > Dunkerque
14,1922,5375,Stage 15 : Dunkerque > Paris
0,1923,5386,Stage 1 : Paris > Le Havre
1,1923,5386,Stage 2 : Le Havre > Cherbourg-en-Cotentin
2,1923,5386,Stage 3 : Cherbourg-en-Cotentin > Brest
3,1923,5386,Stage 4 : Brest > Les Sables
4,1923,5386,Stage 5 : Les Sables > Bayonne
5,1923,5386,Stage 6 : Bayonne > Luchon
6,1923,5386,Stage 7 : Luchon > Perpignan
7,1923,5386,Stage 8 : Perpignan > Toulon
8,1923,5386,Stage 9 : Toulon > Nice
9,1923,5386,Stage 10 : Nice > Briançon
10,1923,5386,Stage 11 : Briançon > Genève
11,1923,5386,Stage 12 : Genève > Strasbourg
12,1923,5386,Stage 13 : Strasbourg > Metz
13,1923,5386,Stage 14 : Metz > Dunkerque
14,1923,5386,Stage 15 : Dunkerque > Paris
0,1924,5425,Stage 1 : Paris > Le Havre
1,1924,5425,Stage 2 : Le Havre > Cherbourg-en-Cotentin
2,1924,5425,Stage 3 : Cherbourg-en-Cotentin > Brest
3,1924,5425,Stage 4 : Brest > Les Sables
4,1924,5425,Stage 5 : Les Sables > Bayonne
5,1924,5425,Stage 6 : Bayonne > Luchon
6,1924,5425,Stage 7 : Luchon > Perpignan
7,1924,5425,Stage 8 : Perpignan > Toulon
8,1924,5425,Stage 9 : Toulon > Nice
9,1924,5425,Stage 10 : Nice > Briançon
10,1924,5425,Stage 11 : Briançon > Gex
11,1924,5425,Stage 12 : Gex > Strasbourg
12,1924,5425,Stage 13 : Strasbourg > Metz
13,1924,5425,Stage 14 : Metz > Dunkerque
14,1924,5425,Stage 15 : Dunkerque > Paris
